,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l1_mu,pred_err_l1_std,pred_err_l1_thr-0.5_bin-True_mu,pred_err_l1_thr-0.5_bin-True_std,pred_err_l1_thr-0.5_bin-False_mu,pred_err_l1_thr-0.5_bin-False_std,pred_err_l2_mu,pred_err_l2_std,pred_err_l2_thr-0.5_bin-True_mu,pred_err_l2_thr-0.5_bin-True_std,pred_err_l2_thr-0.5_bin-False_mu,pred_err_l2_thr-0.5_bin-False_std,pw_pred_err_mu,pw_pred_err_std,pw_pred_err_thr-0.5_bin-True_mu,pw_pred_err_thr-0.5_bin-True_std,pw_pred_err_thr-0.5_bin-False_mu,pw_pred_err_thr-0.5_bin-False_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis_mu,mahalanobis_std,mahalanobis_thr-0.5_bin-True_mu,mahalanobis_thr-0.5_bin-True_std,mahalanobis_thr-0.5_bin-False_mu,mahalanobis_thr-0.5_bin-False_std,kalmanw_pred_err_mu,kalmanw_pred_err_std,kalmanw_pred_err_thr-0.5_bin-True_mu,kalmanw_pred_err_thr-0.5_bin-True_std,kalmanw_pred_err_thr-0.5_bin-False_mu,kalmanw_pred_err_thr-0.5_bin-False_std
Abart,11144.476072683006,101.75256943685393,167.78911409631698,1.4706366328510387,11092.526013284762,103.9709912182341,5568.75,33.72873404087382,10754.487965607746,107.76336454831817,167.24505530149725,1.475793416700358,74.64859255233716,0.2182428811030096,166.91034968639968,1.4814644035203282,41.38499229755168,0.3225956720916083,18.506964729053788,0.05112540136015009,41.30132960201161,0.32403579238724867,,,101.89360656566201,1.1106603988642345,43.5816828660228,0.18604512766172246,101.68477698062713,1.111393638485041,105.80509814857706,0.9267003277941296,49.02376440106998,0.19783691623629515,105.59073423343847,0.9333219413262388
Abend,11150.686753994562,100.71959641603543,168.10840825740996,1.341418690311408,11119.019486891344,97.51075118870868,5566.73,32.662472349777815,10779.696354111798,101.77184014458557,166.87918630282616,1.337952666037608,74.60832084079274,0.2417877526474895,166.54190985898688,1.3435377817284133,41.43709635861368,0.427982343042418,18.509090199264897,0.056225326498357486,41.35316779016199,0.42981052803815295,,,101.98864901080411,1.0653210562133566,43.56301010668087,0.21939278967411446,101.78278464349687,1.0618390406031495,105.82006151104878,0.9588490582925423,49.07320049266362,0.19319182849598088,105.60292379457745,0.9593053637264349
Aboln,11141.818905334378,96.44332473283784,167.79713599655642,1.375271422903991,11099.734419326722,89.431917095042,5564.93,32.46883274772901,10760.660049033891,92.97203118934985,167.24251951590267,1.4594837765217927,74.58609437780272,0.23350688534283576,166.9027193338695,1.466128913238071,41.410556728926906,0.34521576912788277,18.499425111073815,0.0569913146647403,41.32641573691815,0.3467121921152738,,,102.13487706319795,1.054948901813665,43.63836753756912,0.2127617557940237,101.9255013012651,1.0506091675817533,105.75013871847595,0.9783619463285254,49.00932994550443,0.18689617340731302,105.53565074595161,0.979879204724428
Abtäs,11150.374808749377,89.09692352560576,168.00114994951176,1.3251781765407096,11098.00760825937,96.61311617770623,5562.23,34.600536123014045,10757.191237816112,102.72665182101844,167.04936793306234,1.4788524274696178,74.61496284969185,0.21752916839998584,166.7117566646453,1.4841969359090943,41.52111503016986,0.36897981576680855,18.51531890292234,0.0574953158334823,41.43769127604608,0.3703522537920156,,,102.16759774064141,1.0719278037047353,43.59983081117889,0.19447039582047126,101.9686265315088,1.0737271901546985,105.88949077115272,0.9146851865448261,49.04354351853274,0.1811087335944431,105.68302855618106,0.9206528993033598
Acker,11137.794512030367,95.25891909048586,167.67079308152344,1.3909028149478273,11108.068201796628,95.18046801408882,5568.45,32.34234839958286,10770.41980215026,98.42254241490028,167.03820027028715,1.4505947691741528,74.56659359295126,0.20765342193496794,166.6993891954011,1.4549316184296652,41.42812506953359,0.367716520709747,18.504027802225888,0.05625639578752156,41.34422133817172,0.3693833803531602,,,101.85290453962824,1.0316037021383944,43.56672050362682,0.20745602764645327,101.64697503460566,1.0304237403728238,105.81201269691174,0.9123657851169964,49.038656629863965,0.1909548141236811,105.60099150016667,0.9151304246755286
Adern,11136.244230853012,99.61958998773795,168.05062704820924,1.3871816849423608,11090.98339901254,94.35150726016602,5571.1,33.36540124140574,10753.329736741975,98.32648367827242,166.8230784685951,1.4973801466209091,74.62527934391811,0.21836401303698544,166.4861054504694,1.5017917545392516,41.53806712503851,0.3601411852032591,18.517332748763575,0.05204389555641969,41.45430244754598,0.3617508904127259,,,101.9852621669475,1.0158480530926988,43.600881144472204,0.18464313259141746,101.77712518603151,1.0250474220467682,105.899482527962,0.9644137835417744,49.04570784658668,0.1848458186191153,105.68404454003594,0.9671745403954158
Adler,11141.44046413234,101.36445037235605,167.94997566227184,1.3106757796826949,11097.194235092835,104.71158256739452,5568.65,35.187320159398325,10758.62108753048,109.37008833908044,167.10826425411543,1.5645091877661896,74.59144966166623,0.2358757535461266,166.77032266622922,1.5710613396728539,41.422346230326895,0.3694362295375636,18.507646273994215,0.05578033359210572,41.338105069487185,0.3707168024091354,,,101.97294725219312,0.8885545151444048,43.59789234701049,0.212679615523646,101.76245503037113,0.8930301593261815,105.84154153900172,1.0273239348438399,49.01961774528584,0.1772008480485707,105.62830329982023,1.0284788869993489
Adria,11152.476225210456,104.35738053635703,167.6573312339931,1.4700708282578814,11104.316243281153,106.10208038564271,5565.07,36.61345517702475,10764.134365122192,111.73923909419457,167.1601464336354,1.3926262673999459,74.62016486823137,0.22582080942138236,166.8221930969904,1.397416473340976,41.40003080968265,0.3443466248313998,18.505621682286943,0.05359166907315537,41.31603150241515,0.3460428657845854,,,102.01409416846313,1.0225329262132528,43.64490155342251,0.19477558753145738,101.81042663396941,1.027500045911158,105.8002648002993,1.1234537838270946,49.015057830627626,0.19331590178136976,105.58885551194089,1.125856308407835
Affen,11143.063270084962,90.53017365361832,167.90846251287545,1.4307853893877087,11117.406231674122,107.15762835837164,5571.23,28.616378177540213,10779.308265858785,111.04773360969273,167.21079366126614,1.4708339991791874,74.59978326355991,0.22877287838497565,166.87388143676128,1.477451948506775,41.41733730480939,0.35215572198649425,18.515784785739207,0.05100527181459996,41.334152696039084,0.35319533492059174,,,102.06932454759055,1.0883829552017616,43.57299123492017,0.19789197907048026,101.87163836121499,1.086429798903866,105.9183721872545,1.0372916725199453,49.03756527880321,0.20141407563571082,105.70545305896407,1.033804365691201
Agenk,11166.0886097587,87.68188144089756,167.98455660127604,1.3484567033855726,11113.658471558678,98.4871751794439,5569.04,30.43022181976332,10775.170733757759,103.29323692117812,167.07311332231893,1.4407759956982897,74.61164957896521,0.22747990174921748,166.73610849730915,1.446192052165325,41.47208284883387,0.34301408734969324,18.51280862106769,0.05223813097583009,41.38842918734275,0.34430342433101413,,,102.0937760820519,1.1300183764943916,43.62342824282615,0.19672619436166314,101.89144840018525,1.122420630228149,105.87593365520604,0.9395607179247893,49.02724500282628,0.18400460096705354,105.66381275867855,0.9398476635042888
Agent,11170.498810128302,93.64712842583921,167.88443403620983,1.3751569754861899,11092.453638254126,102.19115334947185,5566.55,34.69823482542015,10752.858014506306,107.24050090357201,166.97399365107063,1.4588846240736082,74.60221782362656,0.22157571206530619,166.63719221406384,1.465010745756745,41.4014444384035,0.32894761697752817,18.505085395955557,0.05491361443230491,41.31738073897921,0.3302134195613871,,,101.96910118308375,1.0531771458476669,43.6280781158605,0.19279774641188532,101.7573681117196,1.0480326039477834,105.96453525575613,1.0167871579069103,49.060349249029834,0.2025562580799409,105.74999116459603,1.018639337549629
