,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l1_mu,pred_err_l1_std,pred_err_l2_mu,pred_err_l2_std,pw_pred_err_mu,pw_pred_err_std,mahalanobis_mu,mahalanobis_std,kalmanw_pred_err_mu,kalmanw_pred_err_std
Abart,344.78791114565115,0.3596252568709488,16.04534930397551,0.00926650572504448,391.08457708873385,0.4932282179850344,13.01847932665057,0.00968991750956216,4102.556201693483,60.29128855112955,179.92247924570205,6.891160122566314,12.85824391798659,0.009828589970353088
Abart,344.78791114565115,0.3596252568709488,16.04534930397551,0.00926650572504448,391.08457708873385,0.4932282179850344,13.01847932665057,0.00968991750956216,4102.556201693483,60.29128855112955,179.92247924570205,6.891160122566314,12.85824391798659,0.009828589970353088
Abart,344.78791114565115,0.3596252568709488,16.04534930397551,0.00926650572504448,391.08457708873385,0.4932282179850344,13.01847932665057,0.00968991750956216,4102.556201693483,60.29128855112955,179.92247924570205,6.891160122566314,12.85824391798659,0.009828589970353088
Abart,344.78791114565115,0.3596252568709488,16.04534930397551,0.00926650572504448,391.08457708873385,0.4932282179850344,13.01847932665057,0.00968991750956216,4102.556201693483,60.29128855112955,179.92247924570205,6.891160122566314,12.85824391798659,0.009828589970353088
Abend,385.77164048612605,0.3974850862827861,17.050424396992383,0.009312120245339388,382.9946842415102,0.49596295696688647,13.011632150230575,0.010562127283362045,4198.030355136556,58.6661051236499,182.33273533763818,5.837572218885134,12.825106132992872,0.00964492879258162
Abend,385.77164048612605,0.3974850862827861,17.050424396992383,0.009312120245339388,382.9946842415102,0.49596295696688647,13.011632150230575,0.010562127283362045,4198.030355136556,58.6661051236499,182.33273533763818,5.837572218885134,12.825106132992872,0.00964492879258162
Abend,385.77164048612605,0.3974850862827861,17.050424396992383,0.009312120245339388,382.9946842415102,0.49596295696688647,13.011632150230575,0.010562127283362045,4198.030355136556,58.6661051236499,182.33273533763818,5.837572218885134,12.825106132992872,0.00964492879258162
Abend,385.77164048612605,0.3974850862827861,17.050424396992383,0.009312120245339388,382.9946842415102,0.49596295696688647,13.011632150230575,0.010562127283362045,4198.030355136556,58.6661051236499,182.33273533763818,5.837572218885134,12.825106132992872,0.00964492879258162
Aboln,343.997443795369,0.3582484236589646,16.000441665808317,0.009168485367485647,383.1896614441894,0.4250388625224394,12.810115906124762,0.010874570931842709,4124.439334645075,70.59400905788881,182.4549847406145,6.480766171261484,12.630915359971809,0.009452415824307604
Aboln,343.997443795369,0.3582484236589646,16.000441665808317,0.009168485367485647,383.1896614441894,0.4250388625224394,12.810115906124762,0.010874570931842709,4124.439334645075,70.59400905788881,182.4549847406145,6.480766171261484,12.630915359971809,0.009452415824307604
Aboln,343.997443795369,0.3582484236589646,16.000441665808317,0.009168485367485647,383.1896614441894,0.4250388625224394,12.810115906124762,0.010874570931842709,4124.439334645075,70.59400905788881,182.4549847406145,6.480766171261484,12.630915359971809,0.009452415824307604
Aboln,343.997443795369,0.3582484236589646,16.000441665808317,0.009168485367485647,383.1896614441894,0.4250388625224394,12.810115906124762,0.010874570931842709,4124.439334645075,70.59400905788881,182.4549847406145,6.480766171261484,12.630915359971809,0.009452415824307604
Abtäs,366.7876916917955,0.41360232883871423,16.475379151320336,0.009912838994504073,380.91064131573984,0.49601867416858864,12.813546356084064,0.00992873656435574,4255.443662440415,73.82491748643696,192.71583247437934,6.385309711797807,12.517407854889363,0.010992992391741212
Abtäs,366.7876916917955,0.41360232883871423,16.475379151320336,0.009912838994504073,380.91064131573984,0.49601867416858864,12.813546356084064,0.00992873656435574,4255.443662440415,73.82491748643696,192.71583247437934,6.385309711797807,12.517407854889363,0.010992992391741212
Abtäs,366.7876916917955,0.41360232883871423,16.475379151320336,0.009912838994504073,380.91064131573984,0.49601867416858864,12.813546356084064,0.00992873656435574,4255.443662440415,73.82491748643696,192.71583247437934,6.385309711797807,12.517407854889363,0.010992992391741212
Abtäs,366.7876916917955,0.41360232883871423,16.475379151320336,0.009912838994504073,380.91064131573984,0.49601867416858864,12.813546356084064,0.00992873656435574,4255.443662440415,73.82491748643696,192.71583247437934,6.385309711797807,12.517407854889363,0.010992992391741212
Acker,339.19169277593136,0.37527081878759466,15.972547387498325,0.010979627647089403,379.87740435835985,0.44916283599311047,12.705906502490464,0.009880259080959271,4055.400850875883,79.38801022306367,178.65276767216022,7.311314717182235,12.538743817526061,0.009133437729937535
Acker,339.19169277593136,0.37527081878759466,15.972547387498325,0.010979627647089403,379.87740435835985,0.44916283599311047,12.705906502490464,0.009880259080959271,4055.400850875883,79.38801022306367,178.65276767216022,7.311314717182235,12.538743817526061,0.009133437729937535
Acker,339.19169277593136,0.37527081878759466,15.972547387498325,0.010979627647089403,379.87740435835985,0.44916283599311047,12.705906502490464,0.009880259080959271,4055.400850875883,79.38801022306367,178.65276767216022,7.311314717182235,12.538743817526061,0.009133437729937535
Acker,339.19169277593136,0.37527081878759466,15.972547387498325,0.010979627647089403,379.87740435835985,0.44916283599311047,12.705906502490464,0.009880259080959271,4055.400850875883,79.38801022306367,178.65276767216022,7.311314717182235,12.538743817526061,0.009133437729937535
Adern,356.54714147982986,0.3662907667439764,16.40762195846524,0.010638226048877443,377.16537105329706,0.5200191550133346,12.71604057745061,0.009849475812961946,4151.062953901881,65.84433618314125,179.0564688935405,6.890520704291868,12.559473432412346,0.009551913971854217
