,pred_err_l1_mu,pred_err_l1_std,pred_err_l2_mu,pred_err_l2_std,pred_err_wd_mu,pred_err_wd_std
Gennt,220.81385562428784,0.0,13.021062136532382,0.0,7.160841118410973,0.0
Genom,236.6764968342237,0.0,13.300052862871288,0.0,7.32468899794267,0.0
Genua,227.2491495626877,0.0,13.046648927819824,0.0,7.4793079202521255,0.0
Gerke,229.70916299275862,0.0,13.300880153475143,0.0,7.409631323316427,0.0
Geste,223.13532539775395,0.0,13.022064524020855,0.0,7.328657365606704,0.0
Getem,235.82492266714561,0.0,13.393053069009397,0.0,7.603118756005665,0.0
Getto,205.96608216485598,0.0,12.45075696583135,0.0,8.256607557793648,0.0
Geäst,228.40634113855324,0.0,13.043207827662883,0.0,7.135424299573366,0.0
Gfcßc,222.31855635462244,0.0,12.832885615288975,0.0,9.040892945485712,0.0
Ggcht,230.88080823757542,0.0,13.118389949842939,0.0,8.628438149967247,0.0
Gggln,246.1076507836699,0.0,13.663017818315572,0.0,10.388013890854122,0.0
Ghtcl,207.175360389553,0.0,12.488883766496373,0.0,9.667177720038811,0.0
Ghtcr,208.71161449394577,0.0,12.515999703344178,0.0,8.455579622610598,0.0
Ghtdr,228.81265348505508,0.0,13.181437846555946,0.0,9.376698170734043,0.0
Ghtgl,229.10265462059803,0.0,13.202947660719063,0.0,10.732828402648112,0.0
Ghthl,220.84859100232467,0.0,12.998529916858098,0.0,9.850766181102209,0.0
Ghtkn,230.89011922185927,0.0,13.261521347216858,0.0,8.245773126365107,0.0
Ghtpr,232.15422808176754,0.0,13.255479603811333,0.0,9.851791439343147,0.0
Ghtsc,217.0234853908622,0.0,12.669736803515843,0.0,7.956988491982967,0.0
Ghtsm,237.93932073575405,0.0,13.312187152373722,0.0,8.14391076938725,0.0
Ghtsp,240.4326490557053,0.0,13.399818467555582,0.0,9.305858652457363,0.0
Ghtsw,230.7283208479635,0.0,13.019508523024992,0.0,8.095883214796181,0.0
Gifte,209.94911643005202,0.0,12.828481517122384,0.0,9.6186172328488,0.0
Gilde,221.5826708613023,0.0,13.079782129842966,0.0,9.716010080635296,0.0
