,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l1_mu,pred_err_l1_std,pred_err_l2_mu,pred_err_l2_std,pw_pred_err_mu,pw_pred_err_std,mahalanobis_mu,mahalanobis_std,kalmanw_pred_err_mu,kalmanw_pred_err_std
Abart,466.98442081077343,14.845447630858263,24.295337475628354,0.7308990481477179,470.45682003020954,13.440882185996701,24.29049799836818,0.7427975415816546,23.958618502571056,0.7748319411298503,27.662836697203616,0.9867673374288919,11.885029517884325,0.35312894541966605
Abart,466.98442081077343,14.845447630858263,24.295337475628354,0.7308990481477179,470.45682003020954,13.440882185996701,24.29049799836818,0.7427975415816546,23.958618502571056,0.7748319411298503,27.662836697203616,0.9867673374288919,11.885029517884325,0.35312894541966605
Abart,466.98442081077343,14.845447630858263,24.295337475628354,0.7308990481477179,470.45682003020954,13.440882185996701,24.29049799836818,0.7427975415816546,23.958618502571056,0.7748319411298503,27.662836697203616,0.9867673374288919,11.885029517884325,0.35312894541966605
Abart,466.98442081077343,14.845447630858263,24.295337475628354,0.7308990481477179,470.45682003020954,13.440882185996701,24.29049799836818,0.7427975415816546,23.958618502571056,0.7748319411298503,27.662836697203616,0.9867673374288919,11.885029517884325,0.35312894541966605
Abend,468.4128782217127,13.882525260623753,24.3145737245452,0.6706909583393111,468.3310195456859,14.681475842006721,24.305398629868087,0.6961323522463,23.991124135447254,0.8054244880288535,27.782761564678534,0.8693544195564542,11.818377593264609,0.3892520240398121
Abend,468.4128782217127,13.882525260623753,24.3145737245452,0.6706909583393111,468.3310195456859,14.681475842006721,24.305398629868087,0.6961323522463,23.991124135447254,0.8054244880288535,27.782761564678534,0.8693544195564542,11.818377593264609,0.3892520240398121
Abend,468.4128782217127,13.882525260623753,24.3145737245452,0.6706909583393111,468.3310195456859,14.681475842006721,24.305398629868087,0.6961323522463,23.991124135447254,0.8054244880288535,27.782761564678534,0.8693544195564542,11.818377593264609,0.3892520240398121
Abend,468.4128782217127,13.882525260623753,24.3145737245452,0.6706909583393111,468.3310195456859,14.681475842006721,24.305398629868087,0.6961323522463,23.991124135447254,0.8054244880288535,27.782761564678534,0.8693544195564542,11.818377593264609,0.3892520240398121
Aboln,469.14155800303416,15.664704659267803,24.219849284617165,0.704638835344037,472.02780174397407,15.318691016165415,24.341022008608984,0.7218653197183778,23.942939833246477,0.718119602868657,27.798730453197358,0.9237715928051182,11.854591699634936,0.39705660590773506
Aboln,469.14155800303416,15.664704659267803,24.219849284617165,0.704638835344037,472.02780174397407,15.318691016165415,24.341022008608984,0.7218653197183778,23.942939833246477,0.718119602868657,27.798730453197358,0.9237715928051182,11.854591699634936,0.39705660590773506
