,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l1_mu,pred_err_l1_std,pred_err_l2_mu,pred_err_l2_std,pw_pred_err_mu,pw_pred_err_std,mahalanobis_mu,mahalanobis_std,kalmanw_pred_err_mu,kalmanw_pred_err_std
Abart,1602.000581786916,18.24910274841517,34.02570450917851,0.39076587033868704,1557.4351722119632,20.26354833045874,32.66850134662182,0.4051054983673536,114.90514116081555,1.376006076788081,177.16707041482132,6.617577502650447,14.488279615849372,0.33054400916484394
Abart,1602.000581786916,18.24910274841517,34.02570450917851,0.39076587033868704,1557.4351722119632,20.26354833045874,32.66850134662182,0.4051054983673536,114.90514116081555,1.376006076788081,177.16707041482132,6.617577502650447,14.488279615849372,0.33054400916484394
Abart,1602.000581786916,18.24910274841517,34.02570450917851,0.39076587033868704,1557.4351722119632,20.26354833045874,32.66850134662182,0.4051054983673536,114.90514116081555,1.376006076788081,177.16707041482132,6.617577502650447,14.488279615849372,0.33054400916484394
Abart,1602.000581786916,18.24910274841517,34.02570450917851,0.39076587033868704,1557.4351722119632,20.26354833045874,32.66850134662182,0.4051054983673536,114.90514116081555,1.376006076788081,177.16707041482132,6.617577502650447,14.488279615849372,0.33054400916484394
Abend,1624.2652742478087,18.17900692346547,34.41456102020391,0.3749608115355563,1552.273458497941,19.037889063801178,32.65117053796256,0.37264674918411606,114.74477911255082,1.1875925727811973,177.73466276325806,6.285559187265639,14.260807370449658,0.341403261231138
Abend,1624.2652742478087,18.17900692346547,34.41456102020391,0.3749608115355563,1552.273458497941,19.037889063801178,32.65117053796256,0.37264674918411606,114.74477911255082,1.1875925727811973,177.73466276325806,6.285559187265639,14.260807370449658,0.341403261231138
Abend,1624.2652742478087,18.17900692346547,34.41456102020391,0.3749608115355563,1552.273458497941,19.037889063801178,32.65117053796256,0.37264674918411606,114.74477911255082,1.1875925727811973,177.73466276325806,6.285559187265639,14.260807370449658,0.341403261231138
Abend,1624.2652742478087,18.17900692346547,34.41456102020391,0.3749608115355563,1552.273458497941,19.037889063801178,32.65117053796256,0.37264674918411606,114.74477911255082,1.1875925727811973,177.73466276325806,6.285559187265639,14.260807370449658,0.341403261231138
Aboln,1602.8353564237632,18.62295296868009,34.04440119321568,0.4000651630690893,1553.0425508210642,20.223885695182318,32.60443515338051,0.3665422749969973,114.76706989432783,1.2198436586427144,177.77321735604048,5.970248794197975,14.460910285324116,0.3372217932483715
Aboln,1602.8353564237632,18.62295296868009,34.04440119321568,0.4000651630690893,1553.0425508210642,20.223885695182318,32.60443515338051,0.3665422749969973,114.76706989432783,1.2198436586427144,177.77321735604048,5.970248794197975,14.460910285324116,0.3372217932483715
Aboln,1602.8353564237632,18.62295296868009,34.04440119321568,0.4000651630690893,1553.0425508210642,20.223885695182318,32.60443515338051,0.3665422749969973,114.76706989432783,1.2198436586427144,177.77321735604048,5.970248794197975,14.460910285324116,0.3372217932483715
Aboln,1602.8353564237632,18.62295296868009,34.04440119321568,0.4000651630690893,1553.0425508210642,20.223885695182318,32.60443515338051,0.3665422749969973,114.76706989432783,1.2198436586427144,177.77321735604048,5.970248794197975,14.460910285324116,0.3372217932483715
Abtäs,1614.657304827393,22.630955813245915,34.199338804093216,0.40872051312004004,1551.473342103255,16.917203966193522,32.70670966264004,0.33002428228986924,114.94086914194715,1.3037259919764619,178.44710862116443,6.252156996491391,14.1528173876005,0.3540240993496126
