,n_pixels_l1_mu,n_pixels_l1_std,n_pixels_l2_mu,n_pixels_l2_std,pred_err_l1_mu,pred_err_l1_std,pred_err_l1_thr-0.5_bin-True_mu,pred_err_l1_thr-0.5_bin-True_std,pred_err_l1_thr-0.5_bin-False_mu,pred_err_l1_thr-0.5_bin-False_std,pred_err_l2_mu,pred_err_l2_std,pred_err_l2_thr-0.5_bin-True_mu,pred_err_l2_thr-0.5_bin-True_std,pred_err_l2_thr-0.5_bin-False_mu,pred_err_l2_thr-0.5_bin-False_std,pw_pred_err_mu,pw_pred_err_std,pw_pred_err_thr-0.5_bin-True_mu,pw_pred_err_thr-0.5_bin-True_std,pw_pred_err_thr-0.5_bin-False_mu,pw_pred_err_thr-0.5_bin-False_std,pred_err_wd_mu,pred_err_wd_std,mahalanobis_mu,mahalanobis_std,mahalanobis_thr-0.5_bin-True_mu,mahalanobis_thr-0.5_bin-True_std,mahalanobis_thr-0.5_bin-False_mu,mahalanobis_thr-0.5_bin-False_std,kalmanw_pred_err_mu,kalmanw_pred_err_std,kalmanw_pred_err_thr-0.5_bin-True_mu,kalmanw_pred_err_thr-0.5_bin-True_std,kalmanw_pred_err_thr-0.5_bin-False_mu,kalmanw_pred_err_thr-0.5_bin-False_std
Abart,2906.7208238633216,36.99498234486618,61.99585562570367,0.7580403343034388,2860.571531009187,36.791820827067376,2176.26,29.018139154673584,2544.773231362963,42.113365553992416,61.1344005050135,0.7641751962560683,46.72603593136875,0.31235579142607395,60.282906919745265,0.786637876397021,60.754271304491475,0.7451185348017685,46.672581102271806,0.33284279009336504,59.88844235514456,0.7659437038523021,,,310.1746965636621,5.759593020906569,238.46712451815364,3.6727259991134162,306.0430554934156,6.222420225504719,21.561377569529167,0.634848404412788,15.40207207176942,0.32672114700422505,21.204814708302465,0.623034525723679
Abend,2923.3679400640276,35.13857949349925,62.44117339094959,0.7194166386958891,2849.917606482834,37.461111938600865,2174.81,27.31105819993066,2533.9795220194837,42.602847317408376,60.84508123746101,0.6693502228775443,46.61581834303742,0.33982379100913024,59.97985414765324,0.693107023742207,60.466202137462915,0.7834434435638721,46.579047104006534,0.33941811210445066,59.58684443992243,0.8087126906694984,,,307.8021441918203,6.1783345070539815,237.65203471477318,3.768155390099469,303.6974711071201,6.022689127920477,20.99955487122395,0.6160413453176777,15.349889369882339,0.30172942999866276,20.660799924835082,0.6100811277017502
Aboln,2919.1250888977784,35.40404904711667,62.17404669371665,0.6453372355501692,2867.1026150906405,35.54525377977564,2178.0,29.066819571463267,2551.7516084981726,40.5874069808177,61.302595907126,0.6840264331045206,46.7554594991266,0.2775013973542554,60.455706401975384,0.7015715532556407,60.91659089843847,0.7034573548391129,46.69868419787781,0.3097888430290068,60.05177933085745,0.7188504458293214,,,308.1155062935005,6.712501674496161,238.04560257071668,3.42056257356607,303.9973886019481,6.6670874893861,21.915716382608604,0.6329735528770776,15.398941062914021,0.2977287577132162,21.551588140254008,0.6321705387767612
Abtäs,2912.290468911643,32.76830789495393,62.375577902214076,0.7235585117725007,2863.208413418645,34.48844568261675,2177.21,26.98529043756987,2547.10250996735,39.20368564772957,60.88609860932876,0.6621420074056115,46.65372811831828,0.28222803198667434,60.02733586225275,0.6784704037988942,60.525277809022725,0.8255673174560748,46.61744406647879,0.3425456294017802,59.652487236997594,0.8482740017306218,,,309.2909626195199,6.244478785620601,238.18879348598912,3.276651923924696,305.2669033295948,6.1611046587696245,21.31617357883852,0.6500344923663548,15.378519503885503,0.3101689959639216,20.95828061561331,0.6451886575984508
Acker,2896.4123309154966,40.93153820747684,61.807031900015225,0.7583245789131278,2855.0053541736443,34.02836823659643,2174.42,29.009715613911144,2539.4626589959576,39.09159570025619,60.959218557467885,0.762310988213962,46.70493640924782,0.2981861970610851,60.10309283203229,0.784778486960427,60.46524083095973,0.7330411038182058,46.585314126832365,0.33277673074730496,59.5920486202585,0.7573134139662205,,,308.2106591598127,7.1500436452686165,238.14011630526846,3.1510077672825054,304.17046540007146,7.042655089325211,20.983129424422028,0.5168278770741348,15.346351797370616,0.29648661890787775,20.637236340079106,0.5140947692944187
Adern,2916.0218171184806,36.22485460255462,62.203143732006964,0.7458495356824879,2864.272747249814,37.13391093440582,2178.42,29.97304789306553,2548.443976692347,42.559551536836175,60.90981322363078,0.6367973848601634,46.70414324335256,0.2701923470508356,60.053871343716445,0.651430142766864,60.61974035890025,0.7650471138769411,46.692864134510074,0.33598348518378557,59.74987894150509,0.7889367270292905,,,308.68944310142336,6.594445226831166,238.20415156618756,3.623090855847071,304.19933781872425,6.540105071806184,21.303991323844897,0.7112766293602844,15.391592560601374,0.27881845430174734,20.93353729315083,0.7033996887729166
Adler,2911.9912235906963,36.14837596648465,62.042867503462986,0.7419653318100643,2862.6174107112397,36.0892701046459,2178.9,28.994309786577087,2546.613673218194,41.208158967388236,61.1984677132005,0.7091886909491686,46.74134934979247,0.29370216317520725,60.34362116344454,0.7296233309050558,60.80921911001084,0.7132646401553621,46.624727337202785,0.3193799367622022,59.94006141925852,0.7387264786675474,,,307.65795977641,6.8224747385755045,238.5682684253707,3.5094914317739416,303.6378875735699,6.702955457438859,21.58795578610513,0.6188562603841941,15.4240339371834,0.29911533451723127,21.208172483728575,0.6403363048469242
Adria,2905.446171736977,33.71074591205074,62.02331144645295,0.7140831957318157,2878.8991034109667,34.062377107949416,2181.85,26.487874584420695,2564.2553425919623,38.290775855718806,61.32019287692883,0.7193852480245356,46.71932010105831,0.30843037277335683,60.47184606244225,0.7392700371264186,60.919261506970706,0.7002169714118499,46.66796202525249,0.2859326671892005,60.05460802883641,0.7205622162749198,,,309.9745187069743,6.586776216642958,238.31927800534604,3.4896896821581516,305.84047422155186,6.293976952071057,22.05675947598401,0.6435126349967137,15.510856822774123,0.26181984571487227,21.68666456210113,0.6507038403316723
Affen,2913.3816573719905,34.3654528137468,62.17736341485137,0.6924397241560108,2879.731557428139,37.67708350937551,2187.08,30.66061969367221,2567.215666769608,42.48305371629344,61.26452211677006,0.6587338409887644,46.74791705216311,0.3037289648309184,60.41720590841769,0.676219077588438,61.023489772637724,0.7376450501232592,46.72579302446573,0.3070988259493492,60.16223199956001,0.7573967415652759,,,309.91019199039386,6.489860146382569,237.96713817556784,2.9980684602677283,305.56028710981815,6.574924254975795,21.67106505739964,0.62219904856456,15.455095128388265,0.28062444892763405,21.297560386392284,0.6158451890042135
Agenk,2933.4501010687127,32.83756558572778,62.522390474485654,0.6987625495253242,2872.3818143805274,39.53398800943445,2183.46,31.541851562646094,2558.331872297511,44.72787051760515,61.21140759745383,0.6419155821334941,46.74776080977069,0.2947189720200381,60.361576642586904,0.6584014916570493,60.918390575197144,0.7972770134882099,46.71969692390772,0.31750361468889143,60.058422528851345,0.8158264227943924,,,310.8002967628708,7.293752506608921,238.37381630159132,3.7667118605380887,306.5501116162587,7.223365739832314,21.076137907972203,0.5910082546272541,15.391946716374433,0.3093393267714695,20.74261623713424,0.5987609990888526
