,pred_err_l1_mu,pred_err_l1_std,pred_err_l2_mu,pred_err_l2_std,pred_err_wd_mu,pred_err_wd_std
Abart,227.26879737421092,0.0,13.103415463998468,0.0,8.76071388457337,0.0
Abend,258.0468067269726,0.0,14.057875453906517,0.0,8.873471135344928,0.0
Aboln,227.87373638820458,0.0,13.153474502169244,0.0,8.949087535573245,0.0
Abtäs,242.2165579456131,0.0,13.441542429238035,0.0,7.669331616322164,0.0
Acker,224.15523406110054,0.0,13.117106018788249,0.0,7.64938229843343,0.0
Adern,238.16735995338175,0.0,13.600197740685052,0.0,8.331805900697258,0.0
Adler,228.31344284868408,0.0,13.346751338260203,0.0,9.38076548157687,0.0
Adria,226.13421067330384,0.0,13.168743417765779,0.0,9.328075922546336,0.0
Affen,233.30732519216053,0.0,13.662573817361675,0.0,10.096597894858068,0.0
Agenk,254.34791983598046,0.0,14.017992604676955,0.0,8.433625143713494,0.0
Agent,239.34315435775704,0.0,13.609113973348366,0.0,8.70427336294255,0.0
Ahnen,239.94229709073318,0.0,13.672295714522967,0.0,7.610099484067035,0.0
Aigön,236.31887772664479,0.0,13.436547514961548,0.0,9.273031010044859,0.0
Akkus,241.32825453809932,0.0,13.527046397256298,0.0,7.532640862829637,0.0
Aktie,220.76718308694936,0.0,13.153660244266298,0.0,8.836144419647246,0.0
Alahn,228.7226592696632,0.0,13.250119536548743,0.0,8.855917836285109,0.0
Alarm,227.6715915759409,0.0,13.157310083297205,0.0,9.046198425073596,0.0
Alben,235.93842904369689,0.0,13.512866486769054,0.0,8.733121536827154,0.0
Algen,238.4141700323313,0.0,13.6194298194113,0.0,9.351468688131574,0.0
Alibi,212.76237512633782,0.0,12.90619398397422,0.0,10.593206810855971,0.0
Allas,213.1559917092027,0.0,12.745985059294993,0.0,9.213070367406575,0.0
Alpen,239.90023252382093,0.0,13.645886732523829,0.0,9.805804902592648,0.0
Altar,205.77545552651765,0.0,12.58228753318164,0.0,9.275663463625934,0.0
Alten,215.38849836525216,0.0,12.99804517674083,0.0,8.787503162023262,0.0
Alter,207.1897706482281,0.0,12.762202107133302,0.0,9.096989826871281,0.0
Amche,245.12052174761146,0.0,13.628786799669705,0.0,7.84082270375662,0.0
Amtig,239.67746411527253,0.0,13.558662541593733,0.0,9.881515493174543,0.0
Andam,257.9800222248827,0.0,13.936043554164314,0.0,8.523769777328388,0.0
Anein,223.558558353753,0.0,13.262893831506418,0.0,8.014235344652235,0.0
Angel,238.44785706474585,0.0,13.620373498509734,0.0,9.489987279630382,0.0
Angst,237.46433888251516,0.0,13.451117163413144,0.0,8.429807497785415,0.0
Angur,234.86345678735728,0.0,13.420729713950257,0.0,8.595377611203444,0.0
Anker,232.01379708986883,0.0,13.452389080483178,0.0,7.579574352946464,0.0
Anmas,245.82060848135887,0.0,13.557406458287629,0.0,7.239183376213409,0.0
Anmut,233.1108688878951,0.0,13.319035255677885,0.0,8.16143636816243,0.0
Annag,246.79203233212047,0.0,13.701004860058747,0.0,8.375358405086997,0.0
Anper,241.50930161314696,0.0,13.672542051345527,0.0,8.900048151484832,0.0
Antus,220.15262725033648,0.0,12.94027148270752,0.0,7.419231912587445,0.0
Anzug,241.77808679742898,0.0,13.66637581689004,0.0,7.976416410583021,0.0
Apfel,239.50240977245517,0.0,13.715970401814602,0.0,11.301254931795741,0.0
Arahn,230.3559459433717,0.0,13.277965679207975,0.0,8.01269147537393,0.0
Arcer,209.90111679206774,0.0,12.720312181833854,0.0,7.832969670326941,0.0
Arche,223.9203749212125,0.0,13.112885621941233,0.0,7.883519290301807,0.0
Ardal,227.03205012093144,0.0,13.17782111773803,0.0,9.915674193256896,0.0
Arena,226.61384037500392,0.0,13.204461690646776,0.0,7.75256337228328,0.0
Argon,231.99964066680974,0.0,13.290528750025643,0.0,8.624318100742114,0.0
Arier,207.15248080924465,0.0,12.796124470322027,0.0,8.575451414620487,0.0
Arman,237.52998393568288,0.0,13.414151598633854,0.0,7.913893938917736,0.0
Armee,240.99369879440712,0.0,13.660315119552989,0.0,7.7425883378010845,0.0
Armen,238.94429905739332,0.0,13.583052166828734,0.0,7.735220302163084,0.0
Armöt,228.73303945552232,0.0,13.138685378274598,0.0,8.57367653728199,0.0
Aroma,231.5443242316386,0.0,13.132820714419834,0.0,8.13066932320383,0.0
Arten,217.02178503896064,0.0,13.026430181058423,0.0,7.944276801112084,0.0
Artis,204.499989977856,0.0,12.585985490741116,0.0,8.482518923183067,0.0
Asien,223.6622772835402,0.0,13.17952845418833,0.0,7.533390858277183,0.0
Astän,230.6000830000749,0.0,13.195904181766057,0.0,6.996402212369116,0.0
Athen,231.0367805099351,0.0,13.410463039521595,0.0,8.156091600012969,0.0
Atmen,238.22193023072765,0.0,13.545438200512116,0.0,8.065509606097882,0.0
Augen,245.10409546286166,0.0,13.722337696665475,0.0,8.207605503154353,0.0
Aurer,214.55478185207943,0.0,12.910543068368764,0.0,7.647944415764009,0.0
Autor,205.83188003952833,0.0,12.493921197237023,0.0,8.069202415415779,0.0
Babys,256.8332318084614,0.0,13.89369649463536,0.0,7.855733316088584,0.0
Backe,241.52113598243517,0.0,13.546582368787622,0.0,6.495828633872964,0.0
Bahre,240.8416128178635,0.0,13.64525835623154,0.0,6.829627839265758,0.0
Banco,227.33534654917366,0.0,13.026913251639678,0.0,6.430086371901865,0.0
Banda,254.10713746000468,0.0,13.851126525870441,0.0,7.3928922342646946,0.0
Bande,255.50597933597822,0.0,14.01416915453068,0.0,7.129629491397476,0.0
Bands,253.5726940119987,0.0,13.859689335636794,0.0,6.819567948099808,0.0
Banja,236.38033790439385,0.0,13.403150232154566,0.0,8.267069805858505,0.0
Banjo,229.73289685086598,0.0,13.213885697600466,0.0,8.18539828821164,0.0
Bantu,229.20980845496868,0.0,13.230077979298336,0.0,6.950666280691815,0.0
Barde,247.2644545511225,0.0,13.794931140648268,0.0,7.3390218918795025,0.0
Bares,235.12533818555434,0.0,13.413204865931265,0.0,6.123784383469375,0.0
Bargs,247.16036277159355,0.0,13.683260031467253,0.0,7.159388350473809,0.0
Barke,241.118162285625,0.0,13.649567604183629,0.0,6.611440203376077,0.0
Basam,254.99506880803978,0.0,13.755159107031368,0.0,6.438449487183716,0.0
Basar,233.79698889364184,0.0,13.244372000967674,0.0,6.414061505460937,0.0
Basen,243.41003173237638,0.0,13.639963656438164,0.0,5.925901203858265,0.0
Basis,230.88823667127167,0.0,13.219975645216222,0.0,6.464143325929245,0.0
Batik,227.8528360354437,0.0,13.276686566086946,0.0,7.950514974625004,0.0
Bauch,236.08604721081278,0.0,13.315387622514768,0.0,6.976309834870639,0.0
Bauda,251.0194789221131,0.0,13.707103586158077,0.0,7.5970282697571285,0.0
Bauts,229.33051464508134,0.0,13.146990286184158,0.0,6.588738457823582,0.0
Bcckt,222.19163846360235,0.0,12.958309716495592,0.0,7.210509012279052,0.0
Bcdfw,250.38157900362955,0.0,13.776771956008943,0.0,8.88941562124165,0.0
Bdhnf,258.3054282971646,0.0,14.239182828412636,0.0,9.13232935509868,0.0
Beben,256.3351233154766,0.0,14.119156836388376,0.0,6.688739268969625,0.0
Beere,238.555475814346,0.0,13.741658829532128,0.0,6.5606030900604715,0.0
Beete,237.8860752428983,0.0,13.70547440721013,0.0,6.821739338001694,0.0
Beine,234.10534068006723,0.0,13.631296115921558,0.0,7.00879270227593,0.0
Bekem,263.8007744696965,0.0,14.307594353751476,0.0,6.774823482767552,0.0
Betel,226.01108286309628,0.0,13.37626090911428,0.0,8.09688290162038,0.0
Beule,231.75313449424826,0.0,13.490338426422658,0.0,7.5180131064125195,0.0
Beuns,239.6715838890648,0.0,13.58309325011203,0.0,6.066604619198237,0.0
Bezug,252.3669842628586,0.0,14.025665753451545,0.0,7.14727755868133,0.0
Bgrkq,266.7559535555304,0.0,14.352205037704616,0.0,9.054425334444527,0.0
Bgtts,236.9817055185768,0.0,13.476713510629486,0.0,7.848640447980863,0.0
Bhrps,253.90374920515302,0.0,13.947020240989987,0.0,8.153147377556921,0.0
Bhthl,233.5871734761134,0.0,13.52326709505534,0.0,8.99417776020312,0.0
Bhwxz,255.4249085429393,0.0,14.0310037029572,0.0,6.77912763449534,0.0
Bibel,233.99659464049165,0.0,13.547499478464527,0.0,8.981630470824975,0.0
Biegi,235.7324938929829,0.0,13.648522907324795,0.0,9.411344857132086,0.0
Biere,225.99105691329672,0.0,13.408772923907152,0.0,7.4997322844611745,0.0
Biest,223.46331843610596,0.0,13.211198377679796,0.0,7.5768722830302755,0.0
Binde,244.39261507276186,0.0,13.854265573482373,0.0,8.080219462704816,0.0
Blama,245.0876018700688,0.0,13.586925535779702,0.0,8.168916555461145,0.0
Blete,226.0538470135043,0.0,13.376929164520792,0.0,8.029194998743698,0.0
Bljts,216.5661288025064,0.0,12.980126775360956,0.0,9.369763237643344,0.0
Bllly,215.01669141018624,0.0,13.066628619013738,0.0,11.143776018488198,0.0
Bllsd,233.38128339517175,0.0,13.452973311068734,0.0,9.29366793139086,0.0
Block,223.14198506185846,0.0,13.024476643751697,0.0,8.03633634955479,0.0
Blogs,239.0550353662628,0.0,13.474390966045686,0.0,8.367285960867802,0.0
Bloht,221.8268690744563,0.0,13.089594009074148,0.0,8.635611197572238,0.0
Bluff,226.91218469808473,0.0,13.476347694117813,0.0,10.643343205135343,0.0
